date;AAPL;GE;GME;PG;TSLA
2001-01-02;0.0;-0.08735332638025284;;0.0007968127611093223;
2001-01-03;0.100840337574482;0.09285714477300644;;-0.04936305806040764;
2001-01-04;0.04198473319411278;0.005228758323937654;;-0.03098827414214611;
2001-01-05;-0.04029304161667824;-0.01560468133538961;;0.03630077838897705;
2001-01-08;0.01145038194954395;-0.03698810935020447;;0.02168473787605762;
2001-01-09;0.03773584961891174;-0.02057613246142864;;-0.02530612237751484;
2001-01-10;-0.036363635212183;0.001400560257025063;;-0.01088777184486389;
2001-01-11;0.08679245412349701;0.0419580414891243;;-0.01439458131790161;
2001-01-12;-0.0451388880610466;-0.01879194565117359;;-0.0335051529109478;
2001-01-16;-0.003636363660916686;0.036935705691576;;0.02311111055314541;
2001-01-17;-0.01824817433953285;-0.01451187301427126;;-0.01946133747696877;
2001-01-18;0.1115241646766663;0.0200803205370903;;0.008904719725251198;
2001-01-19;0.04347826167941093;-0.01312335953116417;;-0.01235657557845116;
2001-01-22;-0.01282051298767328;-0.02659574523568153;;-0.0116175152361393;
2001-01-23;0.06493506580591202;0.02049180306494236;;0.004520795773714781;
2001-01-24;0.0;-0.00803212821483612;;0.007200720254331827;
2001-01-25;-0.02743902429938316;-0.008097166195511818;;0.0;
2001-01-26;-0.01880877651274204;-0.02857142873108387;;-0.009830205701291561;
2001-01-29;0.108626201748848;-0.005490172188729048;;-0.0346570611000061;
2001-01-30;0.002881844295188785;0.04213607311248779;;0.06357517093420029;
2001-01-31;-0.005747126415371895;-0.005837847944349051;;0.01040784642100334;
2001-02-01;-0.02312138676643372;0.005437146872282028;;0.02937083318829536;
2001-02-02;-0.02366863936185837;0.001081532333046198;;-0.002569233532994986;
2001-02-05;-0.02121212147176266;0.03392393514513969;;0.007998865097761154;
2001-02-06;0.04643962904810905;-0.005224660504609346;;-0.003093419363722205;
2001-02-07;-0.01775147952139378;-0.01365541480481625;;0.01443604473024607;
2001-02-08;0.0;0.004046828951686621;;-0.003856907831504941;
2001-02-09;-0.07831325381994247;-0.03139583393931389;;0.001201553270220757;
2001-02-12;0.02941176481544971;0.04051683098077774;;0.001466870424337685;
2001-02-13;-0.02857142873108387;-0.007366838399320841;;-0.007323507685214281;
2001-02-14;0.01960784383118153;-0.01908400095999241;;-0.01153588946908712;
2001-02-15;0.02884615398943424;0.03718117624521255;;0.002306936774402857;
2001-02-16;-0.05295950174331665;-0.02042516693472862;;0.01326828729361296;
2001-02-20;-0.03618421033024788;0.01468082144856453;;0.01162483729422092;
2001-02-21;0.03071672283113003;-0.00817780289798975;;0.01439709402620792;
2001-02-22;-0.003311258275061846;-0.004228346049785614;;-0.00911464262753725;
2001-02-23;0.0;-0.01953287050127983;;-0.01406044326722622;
2001-02-26;0.03654485195875168;0.03897789493203163;;-0.05224574357271194;
2001-02-27;-0.006410256493836641;0.0004168498853687197;;-0.005765766371041536;
2001-02-28;-0.05806451663374901;-0.03125;;-0.002828811295330524;
2001-03-01;0.02739726006984711;-0.01268817577511072;;-0.02624111250042915;
2001-03-02;0.02666666731238365;-0.02918754518032074;;0.01456664223223925;
2001-03-05;0.05844155699014664;0.01503258105367422;;0.007322356570512056;
2001-03-06;0.05521472543478012;0.007542065810412169;;-0.01582098938524723;
2001-03-07;-0.01162790693342686;0.01232940144836903;;-0.007675689645111561;
2001-03-08;-0.02058823592960835;-0.002392357680946589;;0.03619386255741119;
2001-03-09;-0.02702702768146992;-0.04490947350859642;;-0.02619719132781029;
2001-03-12;-0.08024691045284271;-0.09609684348106384;;-0.01287242397665977;
2001-03-13;0.05033557116985321;0.06893948465585709;;-0.001611730549484491;
2001-03-14;0.04472843557596207;-0.03071114979684353;;-0.02260054275393486;
2001-03-15;-0.03669724613428116;0.001218694960698485;;-0.0249248668551445;
2001-03-16;-0.003174603218212724;-0.01168459933251143;;-0.00369580346159637;
2001-03-19;0.04777070134878159;0.01231527142226696;;0.01854721270501614;
2001-03-20;-0.04255319014191628;-0.02554742805659771;;0.0;
2001-03-21;0.02222222276031971;-0.02621720917522907;;-0.04097117856144905;
2001-03-22;0.07453416287899017;-0.03333331272006035;;-0.007120265159755945;
2001-03-23;0.06358381360769272;0.06074272841215134;;-0.04063743725419044;
2001-03-26;-0.05304344743490219;0.006001446861773729;;0.003654442029073834;
2001-03-27;0.0500459186732769;0.04175988957285881;;0.02912946417927742;
2001-03-28;-0.03060781583189964;-0.008589849807322025;;-0.001769067370332778;
2001-03-29;0.01623818650841713;-0.003610053332522511;;-0.01321088615804911;
2001-03-30;-0.02041726559400558;0.01111108902841806;;0.02204079180955887;
2001-04-02;-0.02174896001815796;-0.001433382043614984;;-0.01597444154322147;
2001-04-03;-0.06252896785736084;-0.05071767792105675;;-0.008116883225739002;
2001-04-04;-0.03656125441193581;-0.002016175072640181;;-0.003764313412830234;
2001-04-05;0.07025645673274994;0.06313131749629974;;0.01117135398089886;
2001-04-06;-0.013416419737041;-0.02209026925265789;;0.002112121321260929;
2001-04-09;-0.002428326290100813;0.02016035653650761;;-0.02172503434121609;
2001-04-10;0.07302823662757874;0.04357147216796875;;-0.02717930637300014;
2001-04-11;-0.01088936813175678;-0.01277666818350554;;0.004769996274262667;
2001-04-12;0.02844040654599667;0.03304830938577652;;-0.003051887266337872;
2001-04-16;-0.04371095076203346;-0.001118551124818623;;0.005952420178800821;
2001-04-17;-0.04850750416517258;0.01814104244112968;;-0.02958579733967781;
2001-04-18;0.1171569302678108;0.05345359444618225;;0.006620187312364578;
