date;b2ret;b10ret
2014-04-30;0.001172;0.008401
2014-05-30;0.001989;0.019114
2014-06-30;-0.000501;-0.002418
2014-07-31;-0.000246;-0.00016
2014-08-29;0.001195;0.018782
2014-09-30;-6.8e-05;-0.010631
2014-10-31;0.00262;0.013129
2014-11-28;0.001547;0.014195
2014-12-31;-0.002899;0.001414
2015-01-30;0.0053;0.042437
2015-02-27;-0.002444;-0.025087
2015-03-31;0.002385;0.008165
2015-04-30;0.000965;-0.007956000000000001
2015-05-29;0.000521;-0.003817
2015-06-30;0.000394;-0.018369
2015-07-31;0.00075;0.015146
2015-08-31;-0.00093;-0.001192
2015-09-30;0.003996;0.017817
2015-10-30;-0.001092;-0.007517
2015-11-30;-0.002638;-0.0035
2015-12-31;-0.000921;-0.003769
2016-01-29;0.006105;0.02975
2016-02-29;0.001411;0.016709
2016-03-31;0.001865;-0.001442
2016-04-29;-0.000426;-0.004458
2016-05-31;-0.001043;0.001216
2016-06-30;0.006537;0.033345
2016-07-29;-0.000304;0.003269
2016-08-31;-0.002592;-0.007940000000000001
2016-09-30;0.001262;-0.001325
2016-10-31;-0.000428;-0.015542
2016-11-30;-0.003813;-0.040878
2016-12-30;-0.000514;-0.003537
2017-01-31;0.000848;0.002167
2017-02-28;0.000628;0.007423000000000001
2017-03-31;0.001442;0.002424
2017-04-28;0.001317;0.011063
2017-05-31;0.001096;0.007856
2017-06-30;-0.0007520000000000001;-0.001307
2017-07-31;0.001994;-7e-06
2017-08-31;0.001622;0.017123
2017-09-29;-0.001865;-0.017151
2017-10-31;-0.0007880000000000001;-0.001133
2017-11-30;-0.001773;-0.002607
2017-12-29;-0.000203;0.002222
2018-01-31;-0.003274;-0.023598
2018-02-28;-0.000346;-0.013002
2018-03-29;0.001743;0.012783
2018-04-30;-0.001777;-0.015476
2018-05-31;0.003656;0.009592
2018-06-29;-2.1e-05;0.00226
2018-07-31;-0.000186;-0.005108000000000001
2018-08-31;0.003675;0.010064
2018-09-28;-0.001759;-0.014807
2018-10-31;0.00183;-0.004347
2018-11-30;0.004099;0.014917
2018-12-31;0.008316;0.028561
2019-01-31;0.002568;0.007138
2019-02-28;0.00061;-0.004272000000000001
2019-03-29;0.006961;0.029419
2019-04-30;0.001933;-0.006214000000000001
2019-05-31;0.008164000000000001;0.031854
2019-06-28;0.004399;0.012073
2019-07-31;-0.000671;0.003435
2019-08-30;0.008336;0.040344
2019-09-30;-0.001297;-0.013852
2019-10-31;0.003274;-0.000742
2019-11-29;-0.001038;-0.007410000000000001
2019-12-31;0.002274;-0.011292
2020-01-31;0.006337000000000001;0.039182
2020-02-28;0.008698000000000001;0.029902
2020-03-31;0.014069;0.039709
2020-04-30;0.001034;0.005024000000000001
2020-05-29;0.000826;0.000713
2020-06-30;0.000515;0.000388
2020-07-31;0.00103;0.012821
2020-08-31;-0.000208;-0.014709
2020-09-30;-0.000174;0.00256
2020-10-30;-0.000383;-0.01731
2020-11-30;0.0005740000000000001;0.004016
2020-12-31;0.000738;-0.004965000000000001
2021-01-29;0.000219;-0.010713
2021-02-26;-0.000589;-0.025385
2021-03-31;-0.00011;-0.029342
2021-04-30;0.000416;0.011851
2021-05-28;0.000776;0.003441
2021-06-30;-0.001829;0.014084
2021-07-30;0.001813;0.023829
2021-08-31;-0.000396;-0.004837
2021-09-30;-0.000647;-0.015425
2021-10-29;-0.003959;-0.004896
2021-11-30;-0.000134;0.012455
2021-12-31;-0.002055;-0.00475
2022-01-31;-0.007246000000000001;-0.022542
2022-02-28;-0.004643;-0.003021
2022-03-31;-0.015126;-0.043484
2022-04-29;-0.004147000000000001;-0.049388
2022-05-31;0.006489;0.01002
2022-06-30;-0.005624000000000001;-0.012064
2022-07-29;0.004318000000000001;0.033719
2022-08-31;-0.008112000000000001;-0.043289
2022-09-30;-0.012865;-0.050056
2022-10-31;0.000223;-0.014968
2022-11-30;0.00807;0.040789
2022-12-30;0.000845;-0.018566
